"96","A18.0","Gruźlica kości i stawów"
"97","A18.1","Gruźlica układu moczowo-płciowego"
"98","A18.2","Gruźlicza obwodowa limfadenopatia"
"99","A18.3","Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych"
"100","A18.4","Gruźlica skóry i tkanki podskórnej"
"101","A18.5","Gruźlica oka"
"102","A18.6","Gruźlica ucha"
"103","A18.7","Gruźlica nadnerczy (E35.1*)"
"104","A18.8","Gruźlica innych określonych narządów"
"105","A19","Gruźlica prosówkowa"
"106","A19.0","Gruźlica prosówkowa ostra o pojedynczej określonej lokalizacji "
"107","A19.1","Gruźlica prosówkowa ostra o wielomiejscowej lokalizacji"
"108","A19.2","Gruźlica prosówkowa ostra, nie określona"
"109","A19.8","Inne postacie gruźlicy prosówkowej"
"110","A19.9","Gruźlica prosówkowa, nie określona"
"111","A20","Dżuma"
"112","A20.0","Dżuma dymienicza"
"113","A20.1","Dżuma skóry i tkanki podskórnej"
"114","A20.2","Dżuma płucna"
"115","A20.3","Zapalenie opon mózgowych (dżumowe)"
"116","A20.7","Dżuma posocznicowa"
"117","A20.8","Inne postacie dżumy"
"118","A20.9","Dżuma, nie określona"
"119","A21","Tularemia"
"120","A21.0","Tularemia, postać wrzodziejąco-węzłowa"
"121","A21.1","Tularemia, postać oczno-węzłowa"
"122","A21.2","Tularemia płucna"
"123","A21.3","Tularemia, postać żołądkowo-jelitowa"
"124","A21.7","Tularemia uogólniona"
"125","A21.8","Inne formy tularemii"
"126","A21.9","Tularemia, nie określona"
"127","A22","Wąglik"
"128","A22.0","Wąglik skórny"
"129","A22.1","Wąglik płucny"
"130","A22.2","Wąglik jelitowy"
"131","A22.7","Posocznica wąglikowa"
"132","A22.8","Inne postacie wąglika"
"133","A22.9","Wąglik, nie określony"
"134","A23","Bruceloza"
"135","A23.0","Bruceloza wywołana pałeczką maltańską [Br.melitensis]"
"136","A23.1","Bruceloza wywołana pałeczką ronienia krów [Br.abortus var.bovis]"
"137","A23.2","Bruceloza wywołana pałeczką ronienia świń [Br.abortus var.suis] "
"138","A23.3","Bruceloza wywołana pałeczką psią [Br.canis]"
"139","A23.8","Inne postacie brucelozy"
"140","A23.9","Bruceloza, nie określona"
"141","A24","Nosacizna i melioidoza"
"142","A24.0","Nosacizna"
"143","A24.1","Ostra i piorunująca postać melioidozy"
"144","A24.2","Podostra i przewlekła postać melioidozy"
"145","A24.3","Inne postacie melioidozy"
"146","A24.4","Melioidoza, nie określona"
"147","A25","Gorączka szczurza [choroba od ukąszenia przez szczura]"
"148","A25.0","Krętkowica (spiriloza)"
"149","A25.1","Streptobaciloza (choroba wywołana przez Streptobacillus) "
"150","A25.9","Gorączka szczurza, nie określona"
"151","A26","Różyca"
"152","A26.0","Różyca skórna"
"153","A26.7","Posocznica wywołana włoskowcami różycy"
"154","A26.8","Inne formy różycy"
"155","A26.9","Różyca, nie określona"
"156","A27","Krętkowica [leptospiroza]"
"157","A27.0","Żółtaczkowo-krwotoczna postać leptospirozy"
"158","A27.8","Inne formy leptospirozy"
"159","A27.9","Leptospiroza, nie określona"
"160","A28","Inne bakteryjne choroby odzwierzęce, niesklasyfikowane gdzie indziej"
"161","A28.0","Zakażenie wywołane przez pałeczki Pasteurella (pastereloza) "
"162","A28.1","Choroba kociego pazura"
"163","A28.2","Jersinioza pozajelitowa"
"164","A28.8","Inna określona bakteryjna choroba odzwierzęca, niesklasyfikowana gdzie indziej"
"165","A28.9","Bakteryjna choroba odzwierzęca, nie określona"
"166","A30","Trąd [choroba Hansena]"
"167","A30.0","Trąd, nie określony"
"168","A30.1","Trąd tuberkuloidowy"
"169","A30.2","Trąd graniczny tuberkuloidowy"
"170","A30.3","Trąd graniczny"
"171","A30.4","Trąd graniczny lepromatyczny"
"172","A30.5","Trąd lepromatyczny"
"173","A30.8","Inne postacie trądu"
"174","A30.9","Trąd, nie określony"
"175","A31","Zakażenia wywołane przez inne prątki"
"176","A31.0","Płucne zakażenia prątkowe"
"177","A31.1","Skórne zakażenia prątkowe"
"178","A31.8","Inne zakażenia prątkowe"
"179","A31.9","Zakażenie prątkowe, nie określone"
"180","A32","Listerioza"
"181","A32.0","Listerioza skórna"
"182","A32.1","Listeriozowe zapalenie opon mózgowych oraz zapalenie opon mózgowych i mózgu"
"183","A32.7","Posocznica listeriozowa"
"184","A32.8","Inne postacie listeriozy"
"185","A32.9","Listerioza, nie określona"
"186","A33","Tężec noworodków"
"187","A34","Tężec położniczy"
"188","A35","Inne postacie tężca"
"189","A36","Błonica"
"190","A36.0","Błonica gardła"
"191","A36.1","Błonica nosowo-gardłowa"
"192","A36.2","Błonica krtani"
"193","A36.3","Błonica skóry"
"194","A36.8","Inne postacie błonicy"
"195","A36.9","Błonica, nie określona"
"196","A37","Krztusiec"
"197","A37.0","Krztusiec wywołany przez pałeczkę krztuśca [Bordetella pertussis]"
"198","A37.1","Krztusiec wywołany przez pałeczkę krztuśca rzekomego [Bordetella parapertussis]"
"199","A37.8","Krztusiec wywołany przez inne gatunki pałeczki krztuśca [Bordetella]"
"200","A37.9","Krztusiec, nie określony"
"201","A38","Szkarlatyna"
"202","A39","Zapalenie wywołane dwoinką nagminnego zapalenia opon mózgowo-rdzeniowych [Neisseria meningitidis]"
"203","A39.0","Zapalenie meningokokowe opon mózgowych (G01*)"
"204","A39.1","Zespół Waterhouse'a-Friderichsena (E35.1*)"
"205","A39.2","Ostra posocznicza meningokokowa"
"206","A39.3","Przewlekła posocznica meningokokowa"
"207","A39.4","Posocznica meningokokowa, nie określona"
"208","A39.5","Meningokokowa choroba serca"
"209","A39.8","Inne zakażenia meningokokowe"
"210","A39.9","Zakażenie meningokokowe, nie określone"
"211","A40","Posocznica paciorkowcowa"
"212","A40.0","Posocznica wywołana przez paciorkowce grupy A"
"213","A40.1","Posocznica wywołana przez paciorkowce grupy B"
"214","A40.2","Posocznica wywołana przez paciorkowce grupy D"
"215","A40.3","Posocznica wywołana przez Streptococcus pneumoniae"
"216","A40.8","Inne posocznice paciorkowcowe"
"217","A40.9","Posocznica paciorkowcowa, nie określona"
"218","A41","Inne posocznice"
"219","A41.0","Posocznica wywołana przez Staphylococcus aureus"
"220","A41.1","Posocznica wywołana przez inne określone gronkowce"
"221","A41.2","Posocznica wywołana przez nieokreślone gronkowce"
"222","A41.3","Posocznica wywołana przez Haemophilus influenzae"
"223","A41.4","Posocznica wywołana przez beztlenowce"
"224","A41.5","Posocznica wywołana przez inne bakterie Gram-ujemne"
"225","A41.8","Inna posocznica, nie określona"
"226","A41.9","Posocznica, nie określona"
"227","A42","Promienica"
"228","A42.0","Promienica płucna"
"229","A42.1","Promienica brzuszna"
"230","A42.2","Promienica szyjno-twarzowa"
"231","A42.7","Posocznica promienicza"
"232","A42.8","Inne postacie promienicy"
"233","A42.9","Promienica, nie określona"
"234","A43","Nokardioza"
"235","A43.0","Nokardioza płucna"
"236","A43.1","Nokardioza skórna"
"237","A43.8","Inne postacie nokardiozy"
"238","A43.9","Nokardioza, nie określona"
"239","A44","Bartoneloza"
"240","A44.0","Bartoneloza układowa"
"241","A44.1","Bartoneloza skórna i śluzówkowo-skórna"
"242","A44.8","Inne postacie bartonelozy"
"243","A44.9","Bartoneloza, nie określona"
"244","A46","Róża"
"245","A48","Inne choroby bakteryjne niesklasyfikowane gdzie indziej"
"246","A48.0","Zgorzel gazowa"
"247","A48.1","Choroba legionistów"
"248","A48.2","Choroba legionistów bez objawów zapalenia płuc [Gorączka Pontiac]"
"249","A48.3","Zespół wstrząsu toksycznego"
"250","A48.4","Gorączka plamicowa brazylijska"
"251","A48.8","Inne określone choroby bakteryjne"
"252","A49","Choroby bakteryjne o nie ustalonym umiejscowieniu narządowym "
"253","A49.0","Zakażenie gronkowcowe, nie określone"
"254","A49.1","Zakażenie paciorkowcowe, nie określone"
"255","A49.2","Zakażenie wywołane przez pałeczkę Haemophilus influenzae, nie określone"
"256","A49.3","Zakażenia wywołane przez mikoplazmy"
"257","A49.8","Inne zakażenia bakteryjne o nie ustalonym umiejscowieniu narządowym"
"258","A49.9","Zakażenia bakteryjne, nie określone"
"259","A50","Kiła wrodzona"
"260","A50.0","Kiła wrodzona wczesna objawowa"
"261","A50.1","Kiła wrodzona wczesna utajona"
"262","A50.2","Kiła wrodzona wczesna, nie określona"
"263","A50.3","Kiłowa wrodzona późna okulopatia"
"264","A50.4","Kiła późna układu nerwowego [kiła układu nerwowego wieku młodzieńczego]"
"265","A50.5","Inne postacie kiły wrodzonej późnej objawowej"
"266","A50.6","Kiła wrodzona późna utajona"
"267","A50.7","Kiła wrodzona późna, nie określona"
"268","A50.9","Kiła wrodzona, nie określona"
"269","A51","Kiła wczesna"
"270","A51.0","Kiła pierwotna w obrębie narządów płciowych"
"271","A51.1","Kiła pierwotna w obrębie odbytu"
"272","A51.2","Kiła pierwotna o innym umiejscowieniu"
"273","A51.3","Kiła wtórna skóry i błon śluzowych"
"274","A51.4","Inne postacie kiły wtórnej"
"275","A51.5","Kiła wczesna utajona"
"276","A51.9","Kiła wczesna, nie określona"
"277","A52","Kiła późna"
"278","A52.0","Kiła układu krążenia"
"279","A52.1","Kiła objawowa układu nerwowego"
"280","A52.2","Kiła bezobjawowa układu nerwowego"
"281","A52.3","Kiła układu nerwowego, nie określona"
"282","A52.7","Inne postacie kiły późnej objawowej"
"283","A52.8","Kiła późna utajona"
"284","A52.9","Kiła późna, nie określona"
"285","A53","Inne postacie kiły i kiła nie określona"
"286","A53.0","Kiła utajona nie określona, tak wczesna jak i późna"
"287","A53.9","Kiła, nie określona"
"288","A54","Rzeżączka [zakażenia rzeżączkowe]"
"289","A54.0","Zakażenie rzeżączkowe dolnego odcinka układu moczowo-płciowego bez ropnia gruczołów przycewkowych lub dodatkowych"
"290","A54.1","Zakażenie rzeżączkowe dolnego odcinka ukladu moczowo-płciowego z ropniem gruczołów przycewkowych i dodatkowych"
"291","A54.2","Rzeżączkowe zapalenie otrzewnej miednicy oraz inne rzeżączkowe zakażenia układu moczowo-płciowego"
"292","A54.3","Rzeżączkowe zakażenie narządu wzroku"
"293","A54.4","Rzeżączkowe zakażenie układu kostno-mięśniowego"
"294","A54.5","Rzeżączkowe zapalenie gardła"
"295","A54.6","Rzeżączkowe zakażenie odbytu i odbytnicy"
"296","A54.8","Inne zakażenia rzeżączkowe"
"297","A54.9","Zakażenie rzeżączkowe, nie określone"
"298","A55","Ziarnica weneryczna wywołana przez Chlamydie"
"299","A56","Inne choroby przenoszone drogą płciową wywołane przez Chlamydie "
"300","A56.0","Zakażenia dolnego odcinka układu moczowo-płciowego wywołane przez Chlamydie"
"301","A56.1","Zakażenia otrzewnej miednicy i innych narządów układu moczowo-płciowego wywołane przez Chlamydie"
"302","A56.2","Zakażenia układu moczowo-płciowego wywołane przez Chlamydie, nie określone"
"303","A56.3","Zakażenie odbytu i odbytnicy wywołane przez Chlamydie"
"304","A56.4","Zakażenie gardła wywołane przez Chlamydie"
"305","A56.8","Zakażenie umiejscowione gdzie indziej, przenoszone drogą płciową, wywołane przez Chlamydie"
"306","A57","Wrzód weneryczny"
"307","A58","Ziarniniak pachwinowy"
"308","A59","Rzęsistkowica"
"309","A59.0","Rzęsistkowica narządów moczowo-płciowych"
"310","A59.8","Rzęsistkowica umiejscowiona gdzie indziej"
"311","A59.9","Rzęsistkowica, nie określona"
"312","A60","Opryszczkowe [herpes simplex] zakażenie okolicy odbytowej i moczowo-płciowej"
"313","A60.0","Opryszczkowe [herpes simplex] zakażenie narządów płciowych i układu moczowo-płciowego"
"314","A60.1","Opryszczkowe zakażenie skóry okolicy odbytowej oraz odbytnicy "
"315","A60.9","Opryszczkowe zakażenie okolicy odbytowej i moczowo-płciowej, nie określone"
"316","A63","Inne choroby przenoszone głównie drogą płciową niesklasyfikowane gdzie indziej"
"317","A63.0","Brodawki okolicy odbytowej (płciowe) - kłykciny kończyste "
"318","A63.8","Inne określone choroby przenoszone głównie drogą płciową "
"319","A64","Choroby przenoszone drogą płciową, nie określone"
"320","A65","Kiła nieweneryczna"
"321","A66","Malinica [jagodzica]"
"322","A66.0","Zmiana pierwotna malinicza"
"323","A66.1","Malinicze brodawki i sączące pęknięcia szczelinowate"
"324","A66.2","Inne malinicze wczesne objawy skórne"
"325","A66.3","Nadmierne rogowacenie malinicze"
"326","A66.4","Malinicze guzy, kilaki i owrzodzenia"
"327","A66.5","Gangoza"
"328","A66.6","Zmiany malinicze w kościach i stawach"
"329","A66.7","Inne objawy malinicy"
"330","A66.8","Malinica utajona"
"331","A66.9","Malinica, nie określona"
"332","A67","Pinta [carate]"
"333","A67.0","Pierwotne zmiany pinty"
"334","A67.1","Zmiany pośrednie pinty"
"335","A67.2","Zmiany późne pinty"
"336","A67.3","Zmiany mieszane pinty"
"337","A67.9","Pinta, nie określona"
"338","A68","Gorączka powrotna"
"339","A68.0","Gorączka powrotna przenoszona przez wszy"
"340","A68.1","Gorączka powrotna przenoszona przez kleszcze"
"341","A68.9","Gorączka powrotna, nie określona"
"342","A69","Inne choroby wywołane przez krętki"
"343","A69.0","Wrzodziejąco-martwicze zapalenie jamy ustnej"
"344","A69.1","Inne zakażenia Vincenta"
"345","A69.2","Choroba z Lyme"
"346","A69.8","Inne określone zakażenia wywołane przez krętki"
"347","A69.9","Inne zakażenia wywołne przez krętki, nie określone"
"348","A70","Zakażenia Chlamydia psittaci"
"349","A71","Jaglica"
"350","A71.0","Okres początkowy, wstępny jaglicy"
"351","A71.1","Jaglica czynna"
"352","A71.9","Jaglica, nie określona"
"353","A74","Inne choroby wywołane przez Chlamydie"
"354","A74.0","Zapalenie spojówek wywołane przez Chlamydie (H13.1*)"
"355","A74.8","Inne choroby wywołane przez Chlamydie"
"356","A74.9","Zakażenia wywołane przez Chlamydie, nie określone"
"357","A75","Dur wysypkowy"
"358","A75.0","Dur wysypkowy epidemiczny przenoszony przez wszy wywołany przez Rickettsia prowazekii"
"359","A75.1","Dur wysypkowy nawrotowy [Choroba Brilla]"
"360","A75.2","Dur wysypkowy wywołany przez Rickettsia typhi"
"361","A75.3","Dur wysypkowy wywołany przez Rickettsia tsutsugamushi"
"362","A75.9","Dur wysypkowy, nie określony"
"363","A77","Gorączka plamista [riketsjozy przenoszone przez kleszcze]"
"364","A77.0","Gorączka plamista wywołana przez Rickettsia rickettsii"
"365","A77.1","Gorączka plamista wywołana przez Rickettsia conorii"
"366","A77.2","Dur plamisty wywołany przez Rickettsia siberica"
"367","A77.3","Dur plamisty wywołany przez Rickettsia australis"
"368","A77.8","Inne dury plamiste"
"369","A77.9","Dur plamisty, nie określony"
"370","A78","Gorączka Q"
"371","A79","Inne riketsjozy"
"372","A79.0","Gorączka wołyńska [okopowa]"
"373","A79.1","Ospa riketsjowa wywołana przez Rickettsia akari"
"374","A79.8","Inne określone riketsjozy"
"375","A79.9","Riketsjoza, nie określona"
"376","A80","Ostre nagminne porażenie dziecięce"
"377","A80.0","Ostre nagminne porażenie poszczepienne"
"378","A80.1","Ostre nagminne porażenie dziecięce, wirus dziki, importowany "
"379","A80.2","Ostre nagminne porażenie dziecięce, wirus dziki, tubylczy "
"380","A80.3","Inne i nieokreślone postacie ostrego nagminnego porażenia dziecięcego,"
"381","A80.4","Ostre nagminne porażenie dziecięce - postać nieporażenna "
"382","A80.9","Ostre nagminne porażenie dziecięce, nie określone"
"383","A81","Zakażenie powolnymi wirusami ośrodkowego układu nerwowego"
"384","A81.0","Choroba Jacoba-Creutzfeldta"
"385","A81.1","Podostre stwardniające zapalenie mózgu"
"386","A81.2","Postępująca wieloogniskowa leukoencefalopatia"
"387","A81.8","Inne zakażenia powolnymi wirusami ośrodkowego układu nerwowego "
"388","A81.9","Zakażenia powolnymi wirusami ośrodkowego układu nerwowego, nie określone"
"389","A82","Wścieklizna"
"390","A82.0","Wścieklizna leśna"
"391","A82.1","Wścieklizna miejska"
"392","A82.9","Wścieklizna, nie określona"
"393","A83","Wirusowe zapalenie mózgu przenoszone przez komary"
"394","A83.0","Japońskie zapalenie mózgu"
"395","A83.1","Zachodnie końskie zapalenie mózgu"
"396","A83.2","Wschodnie końskie zapalenie mózgu"
"397","A83.3","Zapalenie mózgu St.Louis"
"398","A83.4","Australijskie zapalenie mózgu"
"399","A83.5","Kalifornijskie zapalenie mózgu"
"400","A83.6","Choroba wywołana przez wirus Rocio"
"401","A83.8","Inne wirusowe zapalenia mózgu przenoszone przez komary"
"402","A83.9","Wirusowe zapalenie mózgu przenoszone przez komary, nie określone"
"403","A84","Wirusowe zapalenie mózgu przenoszone przez kleszcze"
"404","A84.0","Dalekowschodnie zapalenie mózgu przenoszone przez kleszcze [rosyjskie wiosenno-letnie zapalenie mózgu]"
"405","A84.1","Środkowoeuropejskie zapalenie mózgu przenoszone przez kleszcze "
"406","A84.8","Inne zapalenia mózgu przenoszone przez kleszcze"
"407","A84.9","Wirusowe zapalenie mózgu przenoszone przez kleszcze, nie określone"
"408","A85","Inne wirusowe zapalenia mózgu niesklasyfikowane gdzie indziej "
"409","A85.0","Enterowirusowe zapalenie mózgu (G05.1*)"
"410","A85.1","Adenowirusowe zapalenie mózgu (G05.1*)"
"411","A85.2","Wirusowe zapalenie mózgu wywołane przez stawonogi, nie określone"
"412","A85.8","Inne określone postacie wirusowego zapalenia mózgu"
"413","A86","Wirusowe zapalenie mózgu, nie określone"
"414","A87","Wirusowe zapalenie opon mózgowych"
"415","A87.0","Enterowirusowe zapalenie opon mózgowych (G02.0*)"
"416","A87.1","Adenowirusowe zapalenie opon mózgowych (G02.0*)"
"417","A87.2","Limfocytarne zapalenie splotu naczyniówkowego i opon mózgowych "
"418","A87.8","Inne wirusowe postacie zapalenia opon mózgowych"
"419","A87.9","Wirusowe zapalenie opon mózgowych, nie określone"
"420","A88","Inne wirusowe zakażenia ośrodkowego układu nerwowego niesklasyfikowane gdzie indziej"
"421","A88.0","Enterowirusowa gorączka wysypkowa [wysypka bostońska]"
"422","A88.1","Epidemiczne zawroty głowy (vertigo)"
"423","A88.8","Inne określone postacie wirusowych zakażeń ośrodkowego układu nerwowego"
"424","A89","Wirusowe zakażenie ośrodkowego układu nerwowego, nie określone "
"425","A90","Gorączka denga [denga klasyczna]"
"426","A91","Gorączka krwotoczna denga"
"427","A92","Inne wirusowe gorączki przenoszone przez komary"
"428","A92.0","Choroba wywołana przez wirus Chikungunya"
"429","A92.1","Gorączka onyong-nyong"
"430","A92.2","Wenezuelska gorączka końska"
"431","A92.3","Gorączka Zachodniego Nilu"
"432","A92.4","Gorączka Doliny Riftu"
"433","A92.8","Inne określone postacie gorączek wirusowych przenoszonych przez komary"
"434","A92.9","Gorączka wirusowa przenoszona przez komary, nie określona "
"435","A93","Inne gorączki wirusowe przenoszone przez komary niesklasyfikowane gdzie indziej"
"436","A93.0","Choroba wywołana przez wirus Oropouche"
"437","A93.1","Gorączka wywołana przez moskita (muchę piaskową) Phlebotomus "
"438","A93.2","Gorączka kleszczowa Colorado"
"439","A93.8","Inne określone postacie gorączek wirusowych przenoszonych przez stawonogi"
"440","A94","Gorączki wirusowe przenoszone przez stawonogi, nie określone "
"441","A95","Żółta gorączka [żółta febra]"
"442","A95.0","Leśna żółta gorączka"
"443","A95.1","Żółta gorączka, postać miejska"
"444","A95.9","Żółta gorączka, nie określona"
"445","A96","Gorączka krwotoczna wywołana przez arenawirusy"
"446","A96.0","Gorączka krwotoczna Junin"
"447","A96.1","Gorączka krwotoczna Machupo"
"448","A96.2","Gorączka Lassa"
"449","A96.8","Inne arenowirusowe gorączki krwotoczne"
"450","A96.9","Gorączka krwotoczna arenawirusowa, nie określona"
"451","A98","Inne wirusowe gorączki krwotoczne niesklasyfikowane gdzie indziej "
"452","A98.0","Gorączka krwotoczna krymsko-kongijska"
"453","A98.1","Gorączka krwotoczna omska"
"454","A98.2","Choroba lasu Kyasanur"
"455","A98.3","Choroba wywołana przez wirus Marburg"
"456","A98.4","Choroba wywołana przez wirus Ebola"
"457","A98.5","Gorączka krwotoczna z zespołem nerkowym"
"458","A98.8","Inne określone postacie wirusowych gorączek krwotocznych "
"459","A99","Nieokreślona wirusowa gorączka krwotoczna"
"460","B00","Zakażenia wirusem herpes [herpes simplex]"
"461","B00.0","Wyprysk opryszczkowy [eczema herpeticum]"
"462","B00.1","Opryszczkowe pęcherzykowe zapalenie skóry"
"463","B00.2","Opryszczkowe zapalenie dziąseł i jamy ustnej oraz gardła i migdałków"
"464","B00.3","Opryszczkowe zapalenie opon mózgowych (G02.0*)"
"465","B00.4","Opryszczkowe zapalenie mózgu (G05.1*)"
"466","B00.5","Opryszczkowa choroba gałki ocznej"
"467","B00.7","Rozsiana opryszczka pospolita"
"468","B00.8","Inne postacie zakażenia wirusem opryszczki"
"469","B00.9","Zakażenie opryszczkowe, nie określone"
"470","B01","Ospa wietrzna [varicella]"
"471","B01.0","Zapalenie opon mózgowych w ospie wietrznej (G02.2*)"
"472","B01.1","Zapalenie mózgu w ospie wietrznej (G05.1*)"
"473","B01.2","Zapalenie płuc w ospie wietrznej (J17.1*)"
"474","B01.8","Ospa wietrzna z innymi powikłaniami"
"475","B01.9","Ospa wietrzna bez powikłań"
"476","B02","Półpasiec [herpes zoster]"
"477","B02.0","Zapalenie mózgu w półpaścu (G05.1*)"
"478","B02.1","Zapalenie opon mózgowych w półpaścu (G02.0*)"
"479","B02.2","Półpasiec z zajęciem innych części układu nerwowego"
"480","B02.3","Półpaścowa choroba gałki ocznej"
"481","B02.7","Półpasiec rozsiany"
"482","B02.8","Półpasiec z innymi powikłaniami"
