1,"Abacavir + Lamivudine
Mylan","Abacavirum +
Lamivudinum",tabletki powlekane,"600 mg +
300 mg","30 tabl. w blistrze
30 tabl. w butelce
90 tabl.
60 tabl.","Rpz
Rpz
Rpz
Rpz","5909991292911
5909991292928
5909991292942
5909991292935",Mylan Laboratoires SAS,23429,"Lupin (Europe) Ltd.
Mylan S.A.S.
Hormosan Pharma GmbH","GB
FR
DE"
32,Accordeon,"Oxycodoni
hydrochloridum","tabletki o
przedłużonym
uwalnianiu",5 mg,"10 tabl. w blistrze
10 tabl. w butelce
14 tabl.
20 tabl. w blistrze
20 tabl. w butelce
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
50 tabl. w blistrze
50 tabl. w butelce
56 tabl.
60 tabl.
98 tabl.
100 tabl. w blistrze
100 tabl. w butelce
120 tabl.","Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw","5909990940141
5909990940240
5909990940158
5909990940165
5909990940257
5909990940172
5909990940189
5909990940264
5909990940196
5909990940271
5909990940202
5909991250836
5909990940226
5909990940233
5909990940288
5909991250843",Astron Healthcare Limited,19784,"Astron Healthcare Limited
PHAST Gesellschaft fuer
Pharmazeutische
Qualitaetsstandards mbH","GB
DE"
33,Accordeon,"Oxycodoni
hydrochloridum","tabletki o
przedłużonym
uwalnianiu",10 mg,"10 tabl. w blistrze
10 tabl. w butelce
14 tabl.
20 tabl. w blistrze
20 tabl. w butelce
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
50 tabl. w blistrze
50 tabl. w butelce
56 tabl.
60 tabl.
98 tabl.
100 tabl. w blistrze
100 tabl. w butelce
120 tabl.","Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw","5909990940677
5909990940776
5909990940684
5909990940691
5909990940783
5909990940707
5909990940721
5909990940790
5909990940738
5909990940806
5909990940745
5909991250850
5909990940752
5909990940769
5909990940820
5909991250867",Astron Healthcare Limited,19785,"PHAST Gesellschaft fuer
Pharmazeutische
Qualitaetsstandards mbH",DE
34,Accordeon,"Oxycodoni
hydrochloridum","tabletki o
przedłużonym
uwalnianiu",20 mg,"10 tabl. w blistrze
10 tabl. w butelce
14 tabl.
20 tabl. w blistrze
20 tabl. w butelce
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
50 tabl. w blistrze
50 tabl. w butelce
56 tabl.
60 tabl.
98 tabl.
100 tabl. w blistrze
100 tabl. w butelce
120 tabl.","Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw","5909990941148
5909990941254
5909990941155
5909990941162
5909990941261
5909990941179
5909990941186
5909990941278
5909990941193
5909990941285
5909990941209
5909991250874
5909990941230
5909990941247
5909990941292
5909991250881",Astron Healthcare Limited,19786,"PHAST Gesellschaft fuer
Pharmazeutische
Qualitaetsstandards mbH
Astron Healthcare Limited","DE
GB"
35,Accordeon,"Oxycodoni
hydrochloridum","tabletki o
przedłużonym
uwalnianiu",40 mg,"10 tabl. w blistrze
10 tabl. w butelce
14 tabl.
20 tabl. w blistrze
20 tabl. w butelce
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
50 tabl. w blistrze
50 tabl. w butelce
56 tabl.
60 tabl.
98 tabl.
100 tabl. w blistrze
100 tabl. w butelce
120 tabl.","Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw","5909990941308
5909990941421
5909990941339
5909990941346
5909990941438
5909990941353
5909990941360
5909990941445
5909990941377
5909990941452
5909990941384
5909991250898
5909990941391
5909990941407
5909990941469
5909991250904",Astron Healthcare Limited,19787,"Astron Healthcare Limited
PHAST Gesellschaft fuer
Pharmazeutische
Qualitaetsstandards mbH","GB
DE"
36,Accordeon,"Oxycodoni
hydrochloridum","tabletki o
przedłużonym
uwalnianiu",80 mg,"10 tabl. w blistrze
10 tabl. w butelce
14 tabl.
20 tabl. w blistrze
20 tabl. w butelce
28 tabl.
30 tabl. w blistrze
30 tabl. w butelce
50 tabl. w blistrze
50 tabl. w butelce
56 tabl.
60 tabl.
98 tabl.
100 tabl. w blistrze
100 tabl. w butelce
120 tabl.","Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw
Rpw","5909990941476
5909990941575
5909990941483
5909990941490
5909990941582
5909990941506
5909990941520
5909990941599
5909990941537
5909990941605
5909990941544
5909991250911
5909990941551
5909990941568
5909990941636
5909991250928",Astron Healthcare Limited,19788,"Astron Healthcare Limited
PHAST Gesellschaft fuer
Pharmazeutische
Qualitaetsstandards mbH","GB
DE"
37,Accupro 5,Quinaprilum,tabletki powlekane,5 mg,"30 tabl.
50 tabl.
100 tabl.","Rp
Rp
Rp","5909990706914
5909990706921
5909990706938",Pfizer Europe MA EEIG,7069,"Pfizer Manufacturing
Deutschland GmbH",DE
38,Accupro 10,Quinaprilum,tabletki powlekane,10 mg,"30 tabl.
50 tabl.
100 tabl.","Rp
Rp
Rp","5909990707010
5909990707027
5909990707034",Pfizer Europe MA EEIG,7070,"Pfizer Manufacturing
Deutschland GmbH",DE
39,Accupro 20,Quinaprilum,tabletki powlekane,20 mg,"30 tabl.
50 tabl.
100 tabl.","Rp
Rp
Rp","5909990707119
5909990707126
5909990707133",Pfizer Europe MA EEIG,7071,"Pfizer Manufacturing
Deutschland GmbH",DE
40,Accupro 40,Quinaprilum,tabletki powlekane,40 mg,"28 tabl.
56 tabl.","Rp
Rp","5909991080129
5909991080136",Pfizer Europe MA EEIG,10801,"Pfizer Manufacturing
Deutschland GmbH",DE
41,Accusol 35,Produkt złożony,"roztwór do
hemofiltracji,
hemodializy i
hemodiafiltracji",-,2 worki 5 L,Rp,5909990610747,Nikkiso Belgium bvba,12260,"Bieffe Medital S.p.A.
Baxter Healthcare S.A.","IT
IE"
42,"Accusol 35 Potassium
2 mmol/l",Produkt złożony,"roztwór do
hemofiltracji,
hemodializy i
hemodiafiltracji",-,2 worki 5 L,Rp,5909990610761,Nikkiso Belgium bvba,12261,"Bieffe Medital S.p.A.
Baxter Healthcare S.A.","IT
IE"
43,"Accusol 35 Potassium
4 mmol/l",Produkt złożony,"roztwór do
hemofiltracji,
hemodializy i
hemodiafiltracji",-,2 worki 5 L,Rp,5909990610846,Nikkiso Belgium bvba,12262,"Bieffe Medital S.p.A.
Baxter Healthcare S.A.","IT
IE"
44,Accuzide,"Quinaprilum +
Hydrochlorothiazidum",tabletki powlekane,"10 mg +
12,5 mg",30 tabl.,Rp,5909990867318,Pfizer Europe MA EEIG,8673,"Pfizer Manufacturing
Deutschland GmbH",DE
45,Accuzide 20,"Quinaprilum +
Hydrochlorothiazidum",tabletki powlekane,"20 mg +
12,5 mg",30 tabl.,Rp,5909990867417,Pfizer Europe MA EEIG,8674,"Pfizer Manufacturing
Deutschland GmbH",DE
46,Acecor,Acebutololum,tabletki powlekane,400 mg,30 tabl.,Rp,5909990666515,"SPA Societa Prodotti
Antibiotici S.p.A.",6665,Doppel Farmaceutici S.r.l.,IT
47,Acenocumarol WZF,Acenocoumarolum,tabletki,1 mg,60 tabl.,Rp,5909991075019,"Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.",10750,"Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.
Zakłady Farmaceutyczne
POLPHARMA S.A. Oddział
Produkcyjny w Nowej Dębie","PL
PL"
48,Acenocumarol WZF,Acenocoumarolum,tabletki,4 mg,60 tabl.,Rp,5909990055715,"Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.",557,"Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.
Zakłady Farmaceutyczne
POLPHARMA S.A. Oddział
Produkcyjny w Nowej Dębie","PL
PL"
49,Acenol,Paracetamolum,tabletki,300 mg,"6 tabl.
20 tabl.","OTC
OTC","5909990140213
5909990140237","Farmaceutyczna
Spółdzielnia Pracy Galena
- Zakład Nr 1",1402,"Farmaceutyczna Spółdzielnia
Pracy Galena",PL
50,Acenol Forte,Paracetamolum,tabletki,500 mg,20 tabl.,OTC,5909991262266,"Farmaceutyczna
Spółdzielnia Pracy Galena
- Zakład Nr 1",2559,"Farmaceutyczna Spółdzielnia
Pracy Galena - Zakład Nr 2",PL
51,Acerin,"Acidum salicylicum +
Acidum lacticum","płyn do stosowania
na skórę","(195 mg +
98 mg)/g",1 op. 8 g,OTC,5909990244218,Scan-Anida Sp. z o.o.,2442,Scan-Anida Sp. z o.o.,PL
52,Acesan,Acidum acetylsalicylicum,tabletki,30 mg,63 tabl.,OTC,5909991190507,Sun-Farm Sp. z o.o.,325,mibe GmbH Arzneimittel,DE
53,Acesan,Acidum acetylsalicylicum,tabletki,50 mg,63 tabl.,OTC,5909991190477,Sun-Farm Sp. z o.o.,326,mibe GmbH Arzneimittel,DE
54,Acesan,Acidum acetylsalicylicum,tabletki,75 mg,"63 tabl.
200 tabl.","OTC
OTC","5909991190491
5909991190484",Sun-Farm Sp. z o.o.,327,mibe GmbH Arzneimittel,DE
55,Acetylcysteine Sandoz,Acetylcysteinum,roztwór do infuzji,100 mg/ml,"5 amp. 3 ml
10 amp. 3 ml
50 amp. 3 ml","Rp
Rp
Rp","5909990789313
5909990789320
5909990789337",Sandoz GmbH,7893,"Salutas Pharma GmbH
Jenahexal Pharma GmbH
Lek Pharmaceuticals d.d.","DE
DE
SI"
56,"Acetylsalicylic Acid
Sandoz",Acidum acetylsalicylicum,tabletki dojelitowe,75 mg,"10 tabl.
20 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
60 tabl.
90 tabl.
100 tabl.","OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC","5909991224974
5909991224981
5909991224998
5909991225001
5909991225018
5909991225025
5909991225032
5909991225049
5909991225056",Sandoz GmbH,22515,"Actavis Ltd.
Actavis ehf.
Balkanpharma Dupnitsa AD","MT
IS
BG"
57,"Acetylsalicylic Acid
Sandoz",Acidum acetylsalicylicum,tabletki dojelitowe,100 mg,30 tabl.,OTC,5909991224905,Sandoz GmbH,22502,"Actavis Ltd.
Actavis ehf.
Balkanpharma Dupnitsa AD","MT
IS
BG"
58,Achillea Millefolium,"Homeopatyczny produkt
leczniczy","granulki; granulki w
pojemniku
jednodawkowym,
krople doustne
roztwór","2CH, 4CH,
5CH, 7CH,
9CH, 12CH,
15CH,
30CH,
200CH, 6K,
12K, 30K,
200K, 1MK,
10MK,
100MK","1 poj. 4 g granulek 2CH
1 poj. 4 g granulek 4CH
1 poj. 4 g granulek 5CH
1 poj. 4 g granulek 7CH
1 poj. 4 g granulek 9CH
1 poj. 4 g granulek 12CH
1 poj. 4 g granulek 15CH
1 poj. 4 g granulek 30CH
1 poj. 4 g granulek 200CH
1 poj. 4 g granulek 6K
1 poj. 4 g granulek 12K
1 poj. 4 g granulek 30K
1 poj. 4 g granulek 200K
1 poj. 4 g granulek 1MK
1 poj. 4 g granulek 10MK
1 poj. 4 g granulek 100MK
1 poj. 1 g granulek 2CH
1 poj. 1 g granulek 4CH
1 poj. 1 g granulek 5CH
1 poj. 1 g granulek 7CH
1 poj. 1 g granulek 9CH
1 poj. 1 g granulek 12CH
1 poj. 1 g granulek 15CH
1 poj. 1 g granulek 30CH
1 poj. 1 g granulek 200CH
1 poj. 1 g granulek 6K
1 poj. 1 g granulek 12K
1 poj. 1 g granulek 30K
1 poj. 1 g granulek 200K
1 poj. 1 g granulek 1MK
1 poj. 1 g granulek 10MK
1 poj. 1 g granulek 100MK
1 op. 60 ml kropli 2CH
1 op. 60 ml kropli 4CH
1 op. 60 ml kropli 5CH
1 op. 60 ml kropli 7CH
1 op. 60 ml kropli 9CH","OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC","5909997032443
5909997083339
5909997083346
5909997083353
5909997083360
5909997083377
5909997083384
5909997083391
5909997083407
5909997083414
5909997083421
5909997085111
5909997085128
5909997085135
5909997085142
5909997085159
5909997032450
5909997085166
5909997085173
5909997085180
5909997085197
5909997085203
5909997085210
5909997085227
5909997085234
5909997085241
5909997085258
5909997085265
5909997085272
5909997085289
5909997085296
5909997085302
5909997032474
5909997085319
5909997085326
5909997085333
5909997085340",Boiron SA,19242,"Boiron SA
Boiron SA","FR
FR"
58,Achillea Millefolium,"Homeopatyczny produkt
leczniczy","granulki; granulki w
pojemniku
jednodawkowym,
krople doustne
roztwór","2CH, 4CH,
5CH, 7CH,
9CH, 12CH,
15CH,
30CH,
200CH, 6K,
12K, 30K,
200K, 1MK,
10MK,
100MK","1 op. 60 ml kropli 12CH
1 op. 60 ml kropli 15CH
1 op. 60 ml kropli 30CH
1 op. 60 ml kropli 200CH
1 op. 60 ml kropli 6K
1 op. 60 ml kropli 12K
1 op. 60 ml kropli 30K
1 op. 60 ml kropli 200K
1 op. 60 ml kropli 1MK
1 op. 60 ml kropli 10MK
1 op. 60 ml kropli 100MK","OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC","5909997085357
5909997085364
5909997085371
5909997085388
5909997085395
5909997085401
5909997085418
5909997085425
5909997085432
5909997085449
5909997085456",Boiron SA,19242,"Boiron SA
Boiron SA","FR
FR"
59,Aciclovir Hasco,Aciclovirum,tabletki,200 mg,30 tabl.,Rp,5909991263485,"Przedsiębiorstwo
Produkcji
Farmaceutycznej HASCO
LEK S.A.",23013,"Przedsiębiorstwo Produkcji
Farmaceutycznej HASCO-
LEK S.A.",PL
60,Aciclovir Hasco,Aciclovirum,tabletki,400 mg,30 tabl.,Rp,5909991263492,"Przedsiębiorstwo
Produkcji
Farmaceutycznej HASCO
LEK S.A.",23014,"Przedsiębiorstwo Produkcji
Farmaceutycznej HASCO-
LEK S.A.",PL
61,Aciclovir Jelfa,Aciclovirum,"proszek do
sporządzania
roztworu do infuzji",250 mg,5 fiol. proszku,Lz,5909990405213,"PharmaSwiss Ceska
Republika s.r.o.",4052,"Przedsiębiorstwo
Farmaceutyczne Jelfa S.A.",PL
62,Aciclovir Mylan,Aciclovirum,"proszek do
sporządzania
roztworu do infuzji",25 mg/ml,"1 fiol. 250 mg
1 fiol. 500 mg
5 fiol. 250 mg
5 fiol. 500 mg
10 fiol. 250 mg
10 fiol. 500 mg","Lz
Lz
Lz
Lz
Lz
Lz","5909991207328
5909991207335
5909991207342
5909991207359
5909991207373
5909991207366",Mylan S.A.S.,22302,"Agila Specialties Polska Sp.
z o.o.",PL
63,Aciclovir Ziaja,Aciclovirum,krem,50 mg/g,1 tuba 5 g,OTC,5909991268756,"Ziaja Ltd. - Zakład
Produkcji Leków Sp. z
o.o.",23100,"Ziaja Ltd. - Zakład Produkcji
Leków Sp. z o.o.",PL
64,Acidum folicum Hasco,Acidum folicum,tabletki,5 mg,"30 tabl.
60 tabl.
90 tabl.","Rp
Rp
Rp","5909991027216
5909991027223
5909991027230","Przedsiębiorstwo
Produkcji
Farmaceutycznej HASCO
LEK S.A.",10272,"Przedsiębiorstwo Produkcji
Farmaceutycznej HASCO-
LEK S.A.",PL
65,Acidum folicum Hasco,Acidum folicum,tabletki,15 mg,"30 tabl.
60 tabl.
90 tabl.","Rp
Rp
Rp","5909991027315
5909991027322
5909991027339","Przedsiębiorstwo
Produkcji
Farmaceutycznej HASCO
LEK S.A.",10273,"Przedsiębiorstwo Produkcji
Farmaceutycznej HASCO-
LEK S.A.",PL
66,Acidum folicum Polfarmex,Acidum folicum,tabletki,5 mg,"30 tabl. w blistrze
30 tabl. w fiolce","Rp
Rp","5909991003210
5909991003227",Polfarmex S.A.,10032,Polfarmex S.A.,PL
67,Acidum folicum Polfarmex,Acidum folicum,tabletki,15 mg,"30 tabl. w blistrze
30 tabl w fiolce","Rp
Rp","5909991003319
5909991003326",Polfarmex S.A.,10033,Polfarmex S.A.,PL
68,Acidum folicum Richter,Acidum folicum,tabletki,5 mg,30 tabl.,Rp,5909990109210,"Gedeon Richter Polska
Sp. z o.o.",1092,"Gedeon Richter Polska Sp. z
o.o.",PL
69,Acidum folicum Richter,Acidum folicum,tabletki,15 mg,30 tabl.,Rp,5909990109319,"Gedeon Richter Polska
Sp. z o.o.",1093,"Grodziskie Zakłady
Farmaceutyczne ""Polfa"" Sp.
z o.o.",PL
70,Acidwell,Pantoprazolum,tabletki dojelitowe,20 mg,"7 tabl. w blistrach
7 tabl. w pojemniku
14 tabl. w blistrach
14 tabl. w pojemniku","OTC
OTC
OTC
OTC","5909990872008
5909990872046
5909990872053
5909990872060",Sandoz GmbH,18279,"Salutas Pharma GmbH
LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
S.C. Sandoz S.R.L.","DE
PL
SI
SI
RO"
71,Acifolik,Acidum folicum,tabletki,"0,4 mg","30 tabl.
60 tabl.","Rp
Rp","5909991027414
5909991027421","Przedsiębiorstwo
Produkcji
Farmaceutycznej HASCO
LEK S.A.",10274,"Przedsiębiorstwo Produkcji
Farmaceutycznej HASCO-
LEK S.A.",PL
