45,Actrapid FlexPen,Insulinum humanum,roztwór do wstrzykiwań,"100 j.m./ ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
46,Actrapid Innolet,Insulinum humanum,roztwór do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml",5909990888511,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
47,Actrapid Penfill,Insulinum humanum,roztwór do wstrzykiwań,100 j.m./ml,"1 wkład 3 ml
5 wkładów 3 ml
10 wkładów 3 ml","5909990237920
5909990971930","Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
48,Adasuve,Loxapinum,"proszek do inhalacji,
podzielony","4,5 mg","1 inhalator
5 inhalator",,"Rpz
Rpz","Alexza UK, Limited","Ferrer Internacional, S.A.",ES
49,Adasuve,Loxapinum,"proszek do inhalacji,
podzielony","9,1 mg","1 inhalator
5 inhalator",,"Rpz
Rpz","Alexza UK, Limited","Ferrer Internacional, S.A.",ES
50,Adcetris,"Brentuximabum
vedotinum","proszek do sporządzania
koncentratu roztworu do
infuzji",50 mg,1 fiol. proszku,5909991004545,Rpz,Takeda Pharma A/S,Takeda Italia S.p.A.,IT
51,Adcirca,Tadalafilum,tabletki powlekane,20 mg,"28 tabl.
56 tabl.","5909990779765
5909990779772","Rpz
Rpz",Eli Lilly Nederland B.V.,Eli Lilly SA,ES
52,Adempas,Riociguatum,tabletki powlekane,"0,5 mg","42 tabl.
84 tabl.
90 tabl.
294 tabl.","5908229300305
5908229300312
5908229300329
5908229300657","Rpz
Rpz
Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
53,Adempas,Riociguatum,tabletki powlekane,1 mg,"42 tabl.
84 tabl.
90 tabl.
294 tabl.","5908229300336
5908229300343
5908229300350
5908229300664","Rpz
Rpz
Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
54,Adempas,Riociguatum,tabletki powlekane,"1,5 mg","42 tabl.
84 tabl.
90 tabl.
294 tabl.","5908229300367
5908229300374
5908229300381
5908229300671","Rpz
Rpz
Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
55,Adempas,Riociguatum,tabletki powlekane,2 mg,"42 tabl.
84 tabl.
90 tabl.
294 tabl.","5908229300398
5908229300404
5908229300411
5908229300688","Rpz
Rpz
Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
56,Adempas,Riociguatum,tabletki powlekane,"2,5 mg","42 tabl.
84 tabl.
90 tabl.
294 tabl.","5908229300428
5908229300435
5908229300442
5908229300695","Rpz
Rpz
Rpz
Rpz",Bayer Pharma AG,Bayer Pharma AG,DE
57,Adenuric,Febuxostatum,tabletki powlekane,80 mg,"14 tabl.
14 tabl.
28 tabl.
28 tabl.
42 tabl.
42 tabl.
56 tabl.
56 tabl.
84 tabl.
84 tabl.
98 tabl.
98 tabl.","5909990805389
5909990761548
5909990805396
5909990805402
5909990761555
5909990805426","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Menarini International
Operations Luxembourg
S.A.","Patheon France S.A.
Menarini-Von Heyden
GmbH","FR
DE"
58,Adenuric,Febuxostatum,tabletki powlekane,120 mg,"14 tabl.
14 tabl.
28 tabl.
28 tabl.
42 tabl.
42 tabl.
56 tabl.
56 tabl.
84 tabl.
84 tabl.
98 tabl.
98 tabl.","5909990805341
5909990761562
5909990805358
5909990805365
5909990761579
5909990805372","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Menarini International
Operations Luxembourg
S.A.","Patheon France S.A.
Menarini-Von Heyden
GmbH","FR
DE"
59,Adjupanrix,"Prepandemiczna
szczepionka przeciw
grypie (H5N1)
(rozszczepiony wirion)
inaktywowana, z
adiuwantem","zawiesina i emulsja do
sporządzania emulsji do
wstrzykiwań","3,75 mcg HA","50 fiol. 2,5 ml zawiesiny + 2 x 25
fiol. 2,5 ml emulsji",,Rp,"GlaxoSmithKline
Biologicals S.A.","GlaxoSmithKline
Biologicals S.A.",BE
60,Adrovance,"Acidum alendronicum +
Cholecalciferolum",tabletki,"70 mg + 2800
j.m.","2 tabl.
4 tabl.
6 tabl.
12 tabl.",,"Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
61,Adrovance,"Acidum alendronicum +
Cholecalciferolum",tabletki,"70 mg + 5600
j.m.","2 tabl.
4 tabl.
12 tabl.",,"Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
62,Advagraf,Tacrolimusum,"kapsułki o przedłużonym
uwalnianiu, twarde","0,5 mg","30 kaps.
30 kaps.
50 kaps.
50 kaps.
100 kaps.
100 kaps.","5909990051052
5909990051069
5909990070053","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","Astellas Pharma Europe
BV","Astellas Ireland Co., Ltd.",IE
63,Advagraf,Tacrolimusum,"kapsułki o przedłużonym
uwalnianiu, twarde",1 mg,"30 kaps.
30 kaps.
50 kaps.
50 kaps.
60 kaps.
60 kaps.
100 kaps.
100 kaps.","5909990051076
5909990051083
5909990051090
5909990051106","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","Astellas Pharma Europe
BV","Astellas Ireland Co., Ltd.",IE
64,Advagraf,Tacrolimusum,"kapsułki o przedłużonym
uwalnianiu, twarde",3 mg,"30 kaps.
30 kaps.
50 kaps.
50 kaps.
100 kaps.
100 kaps.","5909990699957
5909990699964
5909990699971","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","Astellas Pharma Europe
BV","Astellas Ireland Co., Ltd.",IE
65,Advagraf,Tacrolimusum,"kapsułki o przedłużonym
uwalnianiu, twarde",5 mg,"30 kaps.
30 kaps.
50 kaps.
50 kaps.
100 kaps.
100 kaps.","5909990051137
5909990051144
5909990070060","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","Astellas Pharma Europe
BV","Astellas Ireland Co., Ltd.",IE
66,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 j.m.,"1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 2 ml","5909990955800
5909990224302
5909991195489
5909991195496","Rpz
Rpz
Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
67,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",500 j.m.,"1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml","5909990955824
5909991195519
5909990224333
5909991195502","Rpz
Rpz
Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
68,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",1000 j.m.,"1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml","5909990955831
5909991195533
5909990224340
5909991195526","Rpz
Rpz
Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
69,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",1500 j.m.,"1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 2 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml","5909990955848
5909991195557
5909990224357
5909991195540","Rpz
Rpz
Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
70,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",2000 j.m.,"1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml","5909990697441
5909991195564","Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
71,Advate,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",3000 j.m.,"1 fiol. proszku + 1 fiol. rozp. 5 ml
1 fiol. proszku + 1 fiol. rozp. 5 ml","5909990697458
5909991195571","Rpz
Rpz",Baxter AG,"Baxter S.A.
Baxalta Belgium
Manufacturing S.A.","BE
BE"
72,Aerinaze,"Desloratadinum +
Pseudoephedrini sulfas","tabletki o
zmodyfikowanym
uwalnianiu","2,5 mg + 120
mg","2 tabl.
4 tabl.
7 tabl.
10 tabl.
14 tabl.
20 tabl.","5909990072293
5909990072309
5909990072323
5909990072330
5909990072347
5909990072354","Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.",SP Labo N.V.,BE
73,Aerius,Desloratadinum,roztwór doustny,"0,5 mg/ml","1 butelka 30 ml
1 butelka 50 ml
1 butelka 60 ml
1 butelka 100 ml
1 butelka 120 ml
1 butelka 150 ml
1 butelka 225 ml
1 butelka 300 ml
1 butelka 150 ml","5909990040575
5909990040599
5909990040605
5909990040537
5909990040544
5909990040551
5909990040629
5909990040582
5909990040568","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.",SP Labo N.V.,BE
74,Aerius,Desloratadinum,"tabletka ulegająca
rozpadowi w jamie ustnej","2,5 mg","5 tabl.
6 tabl.
10 tabl.
12 tabl.
15 tabl.
18 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
90 tabl.
100 tabl.","5909990040674
5909990040681
5909990040698
5909990040704
5909990040728
5909990040735
5909990040742
5909990040759
5909990040766
5909990040773
5909990040780
5909990040797","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.",SP Labo N.V.,BE
75,Aerius,Desloratadinum,"tabletka ulegająca
rozpadowi w jamie ustnej",5 mg,"5 tabl.
6 tabl.
10 tabl.
12 tabl.
15 tabl.
18 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
90 tabl.
100 tabl.","5909990040803
5909990040827
5909990040834
5909990040841
5909990040858
5909990040865
5909990040872
5909990040889
5909990040896
5909990040902
5909990040926
5909990040933","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.",SP Labo N.V.,BE
76,Aerius,Desloratadinum,tabletki powlekane,5 mg,"1 tabl.
2 tabl.
3 tabl.
5 tabl.
7 tabl.
10 tabl.
14 tabl.
15 tabl.
20 tabl.
21 tabl.
30 tabl.
50 tabl.
90 tabl.
100 tabl.","5909990002405
5909990002436
5909990002443
5909990002450
5909990002467
5909990921010
5909990002474
5909990002481
5909990921027
5909990002498
5909990921034
5909990002504
5909990002528","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.",SP Labo N.V.,BE
77,Aerivio Spiromax,"Salmeterolum +
Fluticasoni propionas",proszek do inhalacji,"50 mcg + 500
mcg","1 inhalator 60 dawek
3 inhalatory 60 dawek","5909991305901
5909991305918","Rp
Rp",Teva B.V.,"Teva Operations Poland
Sp. z o.o.
Teva Pharmaceuticals
Europe B.V.
Norton (Waterford)
Limited T/A Teva
Pharmaceuticals Ireland","PL
NL
IE"
78,Afinitor,Everolimusum,tabletki,"2,5 mg","30 tabl.
90 tabl.","5909991047221
5909991047238","Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
79,Afinitor,Everolimusum,tabletki,5 mg,"10 tabl.
30 tabl.
90 tabl.","5909990743353
5909990711567
5909990711581","Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
